Job Title,Location,Salary,Min_Salary,Max_Salary,Avg_Salary
Full Stack Developer,Noida,153195,128153,173748,150950.9358021821
AI Engineer,Bangalore,58579,26969,93553,60261.65791564991
Machine Learning Engineer,Mumbai,172554,157923,186037,171980.71515929553
Software Engineer,Hyderabad,267728,210843,296149,253496.8267229315
AI Engineer,Hyderabad,304965,223432,481916,352674.5842469289
AR/VR Engineer,Kochi,434596,344722,525448,435085.43751830596
Machine Learning Engineer,Kolkata,182597,146762,212439,179601.23047462362
Software Engineer,Nagpur,10200,9141,14925,12033.42980009357
Database Administrator,Hyderabad,201090,190440,220821,205630.58924824858
Full Stack Developer,Bhubaneswar,265822,211081,305672,258377.32218556764
Machine Learning Engineer,Kolkata,124197,109230,140004,124617.63123568863
Data Scientist,Bangalore,1242183,926433,1522557,1224495.8621367514
Data Scientist,Hyderabad,6291426,2908470,9917882,6413176.746612769
Software Engineer (Frontend),Nagpur,115709,95189,153457,124323.52823166127
Software Engineer (Backend),Indore,40579,31685,49472,40578.5
Full Stack Developer,Lucknow,33889,26011,48137,37074.329515040314
Software Engineer (Backend),Bangalore,301199,271966,361614,316790.6279352334
Software Engineer,Bangalore,16823,10443,23198,16821.161431400127
Software Engineer (Frontend),Noida,45790,74951,191818,133384.9166939201
Software Engineer,Mumbai,120536,111485,122939,117212.53201824748
Data Scientist,Hyderabad,155603,101597,210750,156174.38870498585
Software Engineer (Frontend),Delhi,93220,57093,132139,94616.41965220246
Software Engineer,Bangalore,4488393,3532936,5060243,4296590.142897056
Information Security Engineer,Bangalore,36738,23432,47237,35334.82817056817
Full Stack Developer,Bangalore,220171,175075,275875,225475.4556085018
Software Engineer,Trivandrum,523967,516030,552484,534257.4030526071
Software Engineer,Bangalore,533075,428111,612957,520534.15443260927
Software Engineer (Frontend),Hyderabad,19255,15510,22998,19254.0
Junior Developer,Hyderabad,189026,169052,207674,188363.4528754162
Data Scientist,Hyderabad,65120,50964,69401,60182.94373815001
Software Engineer,Bangalore,772889,729299,849915,789607.279688755
Full Stack Developer,Kolkata,1902191,180536,277519,229027.85015135282
Software Engineer (Frontend),Hyderabad,430564,322569,559768,441168.98732977465
Software Engineer (Frontend),Noida,2399,2101,2340,2221.0076349500214
AI Engineer,Bangalore,35933,28955,44928,36942.1921797353
Senior Software Engineer,Bangalore,1075813,641358,1550540,1095949.6902397869
Data Scientist,Bangalore,167457,120386,206309,163348.0590778083
UI/UX Designer,Gurgaon,262523,221979,292804,257391.8797872346
System Administrator,Hyderabad,289731,189317,390144,289730.5
AI Engineer,Mumbai,274557,253717,321976,287846.77948942216
Software Engineer,Bangalore,488056,395469,531860,463665.05258147116
Machine Learning Engineer,Bangalore,79601,68360,84952,76656.3013312729
AI Engineer,Hyderabad,412363,349117,461721,405419.722020141
Machine Learning Engineer,Mumbai,83712,77972,91887,84929.76794267842
Machine Learning Engineer,Bangalore,167466,149025,191910,170468.23022553517
Cybersecurity Analyst,Noida,190936,106121,145138,125630.41723720323
Software Engineer (Frontend),Bangalore,284470,208443,339581,274012.56968376855
Software Engineer,Trivandrum,50440,39213,55784,47499.00599510157
Machine Learning Engineer,Mumbai,211981,191756,226962,209359.53569873638
Lead Data Scientist,Goa,8013,6900,8845,7872.997013512326
Software Engineer (Backend),Lucknow,19287,13791,24317,19054.44104461662
Network Engineer,Bangalore,275269,229289,302773,266031.61044025805
Software Engineer,Bhubaneswar,153480,80233,230025,155129.57048861132
Software Engineer (Frontend),Chennai,488180,389763,717391,553577.0
Data Scientist,Mysore,10700,4613,16811,10712.891363143779
Full Stack Developer,Mumbai,96173,73306,126236,99771.44469305783
AI Engineer,Hyderabad,208738,156066,300461,228263.9852734111
Software Engineer,Chandigarh,1893394,163492,237629,200561.11246727954
Mobile Developer,Pune,143971,59345,201078,130211.99555131525
Information Security Engineer,Bangalore,81198,66718,102023,84370.79686487718
Full Stack Developer,Bangalore,10368,6972,15037,11004.876121062158
Software Engineer,Mumbai,2829953,73355,80879,77117.75414025012
Full Stack Developer,Noida,20758,12163,28833,20498.78235103229
AR/VR Engineer,Bangalore,101107,85198,103533,94366.03367255552
Full Stack Developer,Visakhapatnam,197318,133504,280102,206803.54812107893
Software Engineer (Backend),Kolkata,601195,333871,713048,523459.6846778794
Software Engineer,Bangalore,373359,319702,427833,373768.30542095157
Software Engineer (Backend),Hyderabad,11406,8165,12529,10347.450149204036
AR/VR Engineer,Indore,45274,46153,57324,51739.431652957086
Cloud Engineer,Bangalore,285667,249495,306312,277904.31714828557
Blockchain Developer,Mumbai,735664,537024,981996,759510.2368517246
Data Scientist,Nagpur,11411,7656,15990,11823.689234807545
Full Stack Developer,Indore,14537,12959,17328,15144.010785884437
Software Engineer (Frontend),Lucknow,164311,111137,301017,206077.53100396323
Software Engineer (Frontend),Coimbatore,106304,103174,129868,116521.29711690484
NLP Engineer,Gurgaon,75012,38102,111920,75011.7109097751
Data Scientist,Kochi,19235,11308,26639,18974.22107641956
Machine Learning Engineer,Hyderabad,95781,82296,106622,94459.51657881212
NLP Engineer,Hyderabad,684744,431759,937728,684743.6468165857
AI Engineer,Hyderabad,13246,66485,194266,130375.79200340863
AI Engineer,Bangalore,1108416,874363,1427578,1150970.9693868007
Technical Architect,Bangalore,137715,148774,186962,167868.57764304965
Network Engineer,Lucknow,28601,12109,76058,44083.76796778842
Machine Learning Engineer,Bangalore,200388,175811,222477,199144.57131967111
Machine Learning Engineer,Bangalore,73463,65414,86584,75999.61098872196
Site Reliability Engineer,Hyderabad,53842,21536,134605,78070.9
Senior Software Engineer,Hyderabad,16934,15265,17779,16522.373902883057
AI Engineer,Bangalore,364426,268015,427124,347570.31105071853
Software Engineer,Chandigarh,699389,283727,1719539,1001633.5358236674
Software Engineer,Bangalore,532652,465259,621790,543525.0810169033
Machine Learning Engineer,Visakhapatnam,151539,140977,178122,159550.0060614986
Software Engineer,Mumbai,63394,24507,145927,85217.25160000767
Full Stack Developer,Chandigarh,31256,72523,113578,93051.21594606078
Full Stack Developer,Lucknow,21954,17678,26164,21921.578094332108
Software Engineer (Backend),Bangalore,6436,3718,9152,6435.0
AI Engineer,Pune,143016,115160,154427,134793.98419972562
AI Engineer,Bangalore,98872,22222,243337,132780.15398273218
QA Engineer,Hyderabad,302299,292612,324607,308609.75654183567
Machine Learning Engineer,Nagpur,210407,191071,236652,213862.0500035889
Full Stack Developer,Lucknow,273702,233726,307159,270443.14135187585
Software Engineer (Frontend),Mumbai,6345324,5517743,6386814,5952279.041689291
Android Developer,Trivandrum,243434,167076,284204,225640.7695390617
System Administrator,Lucknow,302851,222214,331571,276893.0478922445
Machine Learning Engineer,Hyderabad,194571,159530,225734,192632.51197841155
Machine Learning Engineer,Trivandrum,105938,96700,114303,105502.17144433965
Full Stack Developer,Bangalore,302470,237932,342488,290210.3595097747
Software Engineer (Backend),Jaipur,54728,37385,78077,57731.72505103839
Software Engineer,Nagpur,1930989,1409870,2236897,1823384.4462181544
Software Engineer,Delhi,111157,106717,118788,112752.72093918858
Mobile Developer,Ahmedabad,309223,312973,423875,368424.34541141347
Machine Learning Engineer,Bangalore,93846,81428,109052,95240.47687745017
AI Engineer,Surat,27749,15424,44922,30173.29048322291
Software Engineer,Mumbai,289425,157887,426818,292352.99412355124
AI Engineer,Bangalore,262110,225510,335895,280702.91911291506
Data Scientist,Bangalore,26601,22096,30157,26126.59437987819
AI Engineer,Hyderabad,150145,91270,218074,154672.48260743343
Full Stack Developer,Hyderabad,39251,30845,55101,42973.48168041014
Lead Data Scientist,Trivandrum,19648,12479,25529,19004.620076738414
AI Engineer,Mumbai,77391,61577,98213,79895.4043674469
Software Engineer (Frontend),Chennai,91277,79889,106759,93324.3062339582
Software Engineer,Coimbatore,722101,572888,908446,740667.6392209976
Database Administrator,Bangalore,245187,206415,264069,235242.27420747516
AI Engineer,Bangalore,24043,32405,18965,25685.231216503787
Data Scientist,Chandigarh,14537,12159,17237,14698.519230214926
Data Scientist,Lucknow,45579,31390,54660,43025.46911016826
AI Engineer,Delhi,198180,126543,248619,187581.4892252343
QA Engineer,Bhubaneswar,36646,33511,39979,36745.5673806062
Machine Learning Engineer,Noida,114412,97861,125934,111898.22367822271
Full Stack Developer,Chandigarh,59050,47402,71457,59430.07584516666
Lead Data Scientist,Bangalore,138787,94571,186140,140355.9346557038
Machine Learning Engineer,Indore,134468,108553,160031,134292.44758205998
Cybersecurity Analyst,Coimbatore,150215,22240,54430,38335.51112065652
Software Engineer,Bangalore,123295,108217,134438,121327.85249309757
Product Manager,Mysore,210033,173065,248094,210579.69883505197
Software Engineer,Bangalore,345943,330044,383689,356866.7474817099
Software Engineer (Backend),Goa,145526,94420,160689,127555.04219579906
Site Reliability Engineer,Mumbai,168644,139099,172839,155969.8701573123
Data Scientist,Lucknow,146279,175621,133294,154457.9061304939
Software Engineer,Mumbai,11748,6081,16287,11184.514118712505
Information Security Engineer,Hyderabad,190312,140908,244736,192822.598482666
Data Scientist,Bhubaneswar,15317,9189,22544,15867.006309264932
Data Scientist,Lucknow,13791,8136,19118,13627.55576022924
Data Scientist,Bhubaneswar,53786,34609,75063,54836.949495598456
Software Engineer (Frontend),Bangalore,843309,617722,1003492,810607.200066406
Software Engineer,Bangalore,16426,13275,19804,16539.58283351103
Software Engineer (Frontend),Hyderabad,194177,181145,192500,186823.28079456848
Machine Learning Engineer,Mumbai,146674,126428,169191,147809.6827560805
Software Engineer,Bangalore,538817,441816,596741,519279.0425754738
Data Scientist,Mumbai,29276,24448,42280,33364.65639125819
Software Engineer,Bangalore,546977,450664,602963,526814.0903934275
AI Engineer,Delhi,1149721,252631,1051210,651921.2357776677
Data Scientist,Lucknow,37475,23071,50974,37023.139156908524
Research Scientist,Bhubaneswar,30579,25382,36675,31029.271220862363
Data Scientist,Bangalore,181689,169469,215392,192431.38615882694
Full Stack Developer,Noida,32304,26809,38464,32636.844772451215
NLP Engineer,Hyderabad,60219,56701,62636,59668.752966559274
AI Engineer,Bangalore,1133800,170540,2357080,1263810.1985237738
System Administrator,Bangalore,61101,47591,76967,62279.338115085004
Software Engineer (Frontend),Noida,809953,436998,1119673,778335.9969694545
Software Engineer (Backend),Coimbatore,37696,37053,35029,36041.74622933315
AI Engineer,Noida,1583698,376622,1143110,759866.3143388476
Data Scientist,Hyderabad,371041,333054,396530,364792.512460888
Machine Learning Engineer,Bangalore,217444,198142,260378,229260.52323894628
AI Engineer,Bangalore,232962,207818,268740,238279.3115030539
AI Engineer,Gurgaon,2885860,38134,220242,129188.44155148763
AI Engineer,Chennai,213441,201154,256815,228985.17937669985
Software Engineer (Frontend),Ahmedabad,8762,7485,9812,8648.893751082207
Full Stack Developer,Mumbai,72208,44918,117330,81124.58406049013
Software Engineer (Backend),Gurgaon,207273,153835,289553,221694.0
Full Stack Developer,Bangalore,229115,134968,304895,219932.0966113361
Full Stack Developer,Bangalore,411858,153796,1103320,628558.2596372536
Software Engineer,Bhubaneswar,252883,223827,309269,266548.31321900827
Lead Data Scientist,Gurgaon,410593,205885,671784,438834.95412448776
AI Engineer,Chennai,265111,145679,326086,235883.20213748617
Machine Learning Engineer,Bhubaneswar,150293,136840,176692,156766.61411632027
Machine Learning Engineer,Indore,166950,135184,183819,159501.6597732502
Software Engineer,Mysore,121514,100597,164705,132651.80137592793
